id,apelido,nome_completo,slug,clube,clube_id,posicao,posicao_id
106822,Rodrigo Nestor,Rodrigo Nestor Bertalia,rodrigo-nestor,BAH,265,Meia,4
129663,Ruan Pablo,Ruan Pablo Barbosa Sousa,ruan-pablo,BAH,265,Atacante,5
97341,Rogério Ceni,Rogério Mücke Ceni,rogerio-ceni,BAH,265,Técnico,6
107183,Léo Linck,Leonardo Matias Baiersdorf Linck,leo-linck,BOT,263,Goleiro,1
126013,Ythallo,Ythallo Ryckelm Rodrigues de Oliveira - Rycklem,ythallo,BOT,263,Zagueiro,3
111831,Matheus Martins,Matheus Martins Silva dos Santos,matheus-martins,BOT,263,Atacante,5
97468,Marçal,Fernando Marçal de Oliveira,marcal,BOT,263,Lateral,2
107231,Danilo,Danilo dos Santos de Oliveira,danilo,BOT,263,Meia,4
108274,David Ricardo,David Ricardo Loiola da Silva,david-ricardo,BOT,263,Zagueiro,3
129930,Cristhian Loor,Cristhian Joel Loor Santamaría - Christian,cristhian-loor,BOT,263,Goleiro,1
98280,Bastos,Bartolomeu Jacinto Quissanga,bastos,BOT,263,Zagueiro,3
96353,Joaquín Correa,Carlos Joaquín Correa,joaquin-correa,BOT,263,Atacante,5
117965,Martín Anselmi,Martín Rodrigo Anselmi,martin-anselmi,BOT,263,Técnico,6
124757,Nathan Fernandes,Nathan Ribeiro Fernandes,nathan-fernandes,BOT,263,Atacante,5
124481,Mateo Ponte,Mateo Ponte Costa,mateo-ponte,BOT,263,Lateral,2
98672,Savarino,Jefferson David Savarino Quintero,savarino,FLU,266,Meia,4
142890,Montoro,Álvaro Montoro,montoro,BOT,263,Meia,4
69140,Allan,Allan Marques Loureiro,allan,BOT,263,Meia,4
105214,Santi Rodríguez,Santiago Mariano Rodríguez Molina,santi-rodriguez,BOT,263,Meia,4
104693,Newton,Newton Araújo da Costa Júnior,newton,BOT,263,Meia,4
104191,Raul,Raul Jonas Steffens,raul,BOT,263,Goleiro,1
95799,Artur,Artur Victor Guimarães,artur,BOT,263,Atacante,5
103179,Chris Ramos,Christopher Ramos de la Flor,chris-ramos,BOT,263,Atacante,5
39850,Vagner Mancini,Vagner Carmo Mancini,vagner-mancini,RBB,280,Técnico,6
70360,Eduardo Sasha,Eduardo Colcenti Antunes,eduardo-sasha,RBB,280,Atacante,5
143072,Gabriel Abdias,Gabriel da Silva Abdias,gabriel-abdias,BOT,263,Lateral,2
87225,Pedro Henrique,Pedro Henrique Ribeiro Gonçalves,pedro-henrique,RBB,280,Zagueiro,3
91158,Kaio,Kaio Fernando da Silva Pantaleão,kaio,BOT,263,Zagueiro,3
142877,Villalba,Lucas Martín Villalba Jaume,villalba,BOT,263,Atacante,5
94067,Matheus Fernandes,Matheus Fernandes Siqueira,matheus-fernandes,RBB,280,Meia,4
146375,Kadir,José Kadir Barría Rose,kadir,BOT,263,Atacante,5
93882,Cleiton,Cleiton Schwengber,cleiton,RBB,280,Goleiro,1
